id	name	year	Bevtotaal	Wdicht	Wligplaats	Winstituut	Wcorhuur	Wkoop	Wparthuur
A07	De Weteringschans	2008	6880		74	6			
A08	Weesperbuurt/Plantage	2008	7501		110	18			
A09	Oostelijke Eilanden/Kadijken	2008	12492		156	10			
B10	Westelijk Havengebied	2008	253		19	2			
E12	Houthavens	2008	1817		263	0			
E13	Spaarndammer- en Zeeheldenbuurt	2008	10002		10	5			
E14	Staatsliedenbuurt	2008	12094		54	23			
E15	Centrale Markt	2008	2616		24	2			
E16	Frederik Hendrikbuurt	2008	7791		19	9			
E17	Da Costabuurt	2008	4349		68	16			
E18	Kinkerbuurt	2008	5028		14	9			
E19	Van Lennepbuurt	2008	6630		51	6			
E20	Helmersbuurt	2008	6788		13	22			
E21	Overtoomse Sluis	2008	7007		18	13			
E22	Vondelbuurt	2008	1682		0	7			
E36	Sloterdijk	2008	135		0	2			
E37	Landlust	2008	17830		18	0			
E38	Erasmuspark	2008	5068		0	1			
E39	De Kolenkit	2008	7045		1	6			
E40	Geuzenbuurt	2008	6304		0	1			
E41	Van Galenbuurt	2008	5414		0	0			
E42	Hoofdweg e,o,	2008	10039		0	2			
E43	Westindische Buurt	2008	6353		0	3			
E75	Chassébuurt	2008	5657		0	2			
F11	Bedrijventerrein Sloterdijk	2008	74		0	1			
F76	Slotermeer-Noordoost	2008	9155		0	6			
F77	Slotermeer-Zuidwest	2008	15707		4	7			
F78	Geuzenveld	2008	14115		0	60			
F79	Eendracht	2008	2333		0	0			
F80	Lutkemeer/Ookmeer	2008	878		0	0			
F81	Osdorp-Oost	2008	14141		0	11			
F82	Osdorp-Midden	2008	11485		0	5			
F83	De Punt	2008	4971		0	5			
F84	Middelveldsche Akerpolder	2008	14359		13	1			
F85	Slotervaart-Noord	2008	7591		0	8			
F86	Overtoomse Veld	2008	9808		0	21			
F87	Westlandgracht	2008	4581		0	4			
F88	Sloter-/Riekerpolder	2008	13955		12	23			
F89	Slotervaart-Zuid	2008	8895		0	252			
K23	Zuidas	2008	96		0	11			
K24	Oude Pijp	2008	13712		30	4			
K25	Nieuwe Pijp	2008	11295		21	5			
K26	Zuid-Pijp	2008	8137		24	3			
K44	Hoofddorppleinbuurt	2008	10663		44	6			
K45	Schinkelbuurt	2008	3717		0	11			
K46	Willemspark	2008	5220		0	19			
K47	Museumkwartier	2008	12406		3	28			
K48	Stadionbuurt	2008	10099		146	5			
K49	Apollobuurt	2008	8070		0	4			
K52	Scheldebuurt	2008	13300		0	6			
K53	IJselbuurt	2008	5085		8	0			
K54	Rijnbuurt	2008	8568		70	2			
K59	Prinses Irenebuurt e,o,	2008	1153		0	0			
K90	Buitenveldert-West	2008	11822		18	68			
K91	Buitenveldert-Oost	2008	7111		0	5			
M27	Weesperzijde	2008	4550		48	2			
M28	Oosterparkbuurt	2008	10215		0	70			
M29	Dapperbuurt	2008	8111		0	22			
M30	Transvaalbuurt	2008	9329		0	1			
M31	Indische Buurt-West	2008	11913		0	27			
M32	Indische Buurt-Oost	2008	10368		21	5			
M33	Oostelijk Havengebied	2008	17662		219	8			
M34	Zeeburgereiland/Nieuwe diep	2008	464		62	1			
M35	IJburg-West	2008	7781		0	0			
M50	IJburg-Oost	2008							
M51	IJburg-Zuid	2008	485		0	0			
M55	Frankendael	2008	9528		3	82			
M56	Middenmeer	2008	12164		0	6			
M57	Betondorp	2008	3032		0	0			
M58	Omval/Overamstel	2008	2115		95	3			
N60	Volewijck	2008	9583		41	9			
N61	IJplein/Vogelbuurt	2008	8366		37	5			
N62	Tuindorp Nieuwendam	2008	3444		3	0			
N63	Tuindorp Buiksloot	2008	1868		0	0			
N64	Nieuwendammerdijk/Buiksloterdijk	2008	1588		12	0			
N65	Tuindorp Oostzaan	2008	9893		64	23			
N66	Oostzanerwerf	2008	8698		72	1			
N67	Kadoelen	2008	2890		34	0			
N68	Waterlandpleinbuurt	2008	13023		0	3			
N69	Buikslotermeer	2008	10480		0	6			
N70	Banne Buiksloot	2008	13143		35	13			
N71	Noordelijke IJ-oevers-West	2008	609		90	0			
N72	Noordelijke IJ-oevers-Oost	2008	126		1	1			
N73	Waterland	2008	2126		83	1			
N74	Elzenhagen	2008	1093		1	0			
T92	Amstel III/Bullewijk	2008	97		11	7			
T93	Bijlmer-Centrum (D,F,H)	2008	20440		0	26			
T94	Bijlmer-Oost (E,G,K)	2008	23912		0	9			
T95	Nellestein	2008	2765		1	4			
T96	Holendrecht/Reigersbos	2008	18396		0	15			
T97	Gein	2008	11825		0	113			
T98	Driemond	2008	1487		0	0			
Z99	buiten beschouwing	2008							
A00	Burgwallen-Oude Zijde	2009	3783		2	16			
A01	Burgwallen-Nieuwe Zijde	2009	3754		9	2			
A02	Grachtengordel-West	2009	6316		70	12			
A03	Grachtengordel-Zuid	2009	5056		80	19			
A04	Nieuwmarkt/Lastage	2009	8783		194	23			
A05	Haarlemmerbuurt	2009	7918		143	86			
A06	Jordaan	2009	18660		115	10			
A07	De Weteringschans	2009	6861		73	6			
A08	Weesperbuurt/Plantage	2009	7618		106	13			
A09	Oostelijke Eilanden/Kadijken	2009	12554		164	9			
B10	Westelijk Havengebied	2009	238		32	2			
E12	Houthavens	2009	1878		207	0			
E13	Spaarndammer- en Zeeheldenbuurt	2009	9917		9	5			
E14	Staatsliedenbuurt	2009	11875		54	23			
E15	Centrale Markt	2009	2614		24	2			
E16	Frederik Hendrikbuurt	2009	7864		19	8			
E17	Da Costabuurt	2009	4350		68	16			
E18	Kinkerbuurt	2009	5044		14	9			
E19	Van Lennepbuurt	2009	6709		51	6			
E20	Helmersbuurt	2009	6903		13	11			
E21	Overtoomse Sluis	2009	7058		18	13			
E22	Vondelbuurt	2009	1696		0	5			
E36	Sloterdijk	2009	184		0	1			
E37	Landlust	2009	17514		18	0			
E38	Erasmuspark	2009	5531		0	1			
E39	De Kolenkit	2009	7219		0	6			
E40	Geuzenbuurt	2009	6404		0	1			
E41	Van Galenbuurt	2009	5460		0	0			
E42	Hoofdweg e,o,	2009	9988		0	2			
E43	Westindische Buurt	2009	6374		0	0			
E75	Chassébuurt	2009	5410		0	2			
F11	Bedrijventerrein Sloterdijk	2009	73		0	1			
F76	Slotermeer-Noordoost	2009	9243		0	2			
F77	Slotermeer-Zuidwest	2009	15847		4	7			
F78	Geuzenveld	2009	13228		0	58			
F79	Eendracht	2009	2350		0	0			
F80	Lutkemeer/Ookmeer	2009	883		0	0			
F81	Osdorp-Oost	2009	14444		0	10			
F82	Osdorp-Midden	2009	12136		0	4			
F83	De Punt	2009	5080		0	5			
F84	Middelveldsche Akerpolder	2009	14320		13	1			
F85	Slotervaart-Noord	2009	7640		0	8			
F86	Overtoomse Veld	2009	9890		0	21			
F87	Westlandgracht	2009	4879		0	3			
F88	Sloter-/Riekerpolder	2009	13934		12	23			
F89	Slotervaart-Zuid	2009	9098		0	252			
K23	Zuidas	2009	198		0	12			
K24	Oude Pijp	2009	13665		30	4			
K25	Nieuwe Pijp	2009	11419		21	5			
K26	Zuid-Pijp	2009	8036		24	3			
K44	Hoofddorppleinbuurt	2009	10657		44	6			
K45	Schinkelbuurt	2009	3686		0	11			
K46	Willemspark	2009	5197		0	19			
K47	Museumkwartier	2009	12387		2	27			
K48	Stadionbuurt	2009	11796		146	5			
K49	Apollobuurt	2009	8047		0	3			
K52	Scheldebuurt	2009	13384		0	5			
K53	IJselbuurt	2009	5051		8	0			
K54	Rijnbuurt	2009	8505		70	2			
K59	Prinses Irenebuurt e,o,	2009	1177		0	0			
K90	Buitenveldert-West	2009	11833		18	68			
K91	Buitenveldert-Oost	2009	7115		0	5			
M27	Weesperzijde	2009	4606		48	2			
M28	Oosterparkbuurt	2009	10215		0	71			
M29	Dapperbuurt	2009	7959		0	22			
M30	Transvaalbuurt	2009	9218		0	1			
M31	Indische Buurt-West	2009	11642		0	27			
M32	Indische Buurt-Oost	2009	10246		20	5			
M33	Oostelijk Havengebied	2009	17555		219	8			
M34	Zeeburgereiland/Nieuwe diep	2009	458		61	1			
M35	IJburg-West	2009	10339		0	0			
M50	IJburg-Oost	2009							
M51	IJburg-Zuid	2009	2442		0	0			
M55	Frankendael	2009	9626		3	82			
M56	Middenmeer	2009	13035		0	5			
M57	Betondorp	2009	3076		0	0			
M58	Omval/Overamstel	2009	2028		96	3			
N60	Volewijck	2009	9479		40	8			
N61	IJplein/Vogelbuurt	2009	8366		38	5			
N62	Tuindorp Nieuwendam	2009	3419		3	0			
N63	Tuindorp Buiksloot	2009	1853		0	0			
N64	Nieuwendammerdijk/Buiksloterdijk	2009	1599		12	0			
N65	Tuindorp Oostzaan	2009	10336		63	23			
N66	Oostzanerwerf	2009	8704		72	1			
N67	Kadoelen	2009	2892		34	0			
N68	Waterlandpleinbuurt	2009	12919		0	3			
N69	Buikslotermeer	2009	10371		0	6			
N70	Banne Buiksloot	2009	12732		34	12			
N71	Noordelijke IJ-oevers-West	2009	610		84	0			
N72	Noordelijke IJ-oevers-Oost	2009	122		0	1			
N73	Waterland	2009	2121		88	1			
N74	Elzenhagen	2009	1158		1	0			
T92	Amstel III/Bullewijk	2009	153		3	7			
T93	Bijlmer-Centrum (D,F,H)	2009	20666		0	26			
T94	Bijlmer-Oost (E,G,K)	2009	25153		0	9			
T95	Nellestein	2009	2757		1	4			
T96	Holendrecht/Reigersbos	2009	18347		0	12			
T97	Gein	2009	11905		0	113			
T98	Driemond	2009	1509		0	0			
Z99	buiten beschouwing	2009							
A00	Burgwallen-Oude Zijde	2010	3900		2	14			
A01	Burgwallen-Nieuwe Zijde	2010	4146		8	2			
A02	Grachtengordel-West	2010	6230		69	12			
A03	Grachtengordel-Zuid	2010	5125		79	18			
A04	Nieuwmarkt/Lastage	2010	8808		195	23			
A05	Haarlemmerbuurt	2010	8704		140	86			
A06	Jordaan	2010	18927		115	9			
A07	De Weteringschans	2010	6973		74	5			
A08	Weesperbuurt/Plantage	2010	7542		105	13			
A09	Oostelijke Eilanden/Kadijken	2010	12355		163	9			
B10	Westelijk Havengebied	2010	255		33	2			
E12	Houthavens	2010	1749		74	0			
E13	Spaarndammer- en Zeeheldenbuurt	2010	9968		9	5			
E14	Staatsliedenbuurt	2010	11921		54	23			
E15	Centrale Markt	2010	2585		24	2			
