id	name	year	data1	data2
F88	Sloter-/Riekerpolder	2008	13955	6915
F89	Slotervaart-Zuid	2008	8895	4107
K23	Zuidas	2008	96	49
K24	Oude Pijp	2008	13712	7006
K25	Nieuwe Pijp	2008	11295	5497
K26	Zuid-Pijp	2008	8137	3891
K44	Hoofddorppleinbuurt	2008	10663	4894
K45	Schinkelbuurt	2008	3717	1803
K46	Willemspark	2008	5220	2586
K47	Museumkwartier	2008	12406	5885
K48	Stadionbuurt	2008	10099	4679
K49	Apollobuurt	2008	8070	3795
K52	Scheldebuurt	2008	13300	6071
K53	IJselbuurt	2008	5085	2442
K54	Rijnbuurt	2008	8568	3961
K59	Prinses Irenebuurt e,o,	2008	1153	536
K90	Buitenveldert-West	2008	11822	5326
K91	Buitenveldert-Oost	2008	7111	3159
M27	Weesperzijde	2008	4550	2341
M28	Oosterparkbuurt	2008	10215	5166
M29	Dapperbuurt	2008	8111	4037
M30	Transvaalbuurt	2008	9329	4709
M31	Indische Buurt-West	2008	11913	6171
M32	Indische Buurt-Oost	2008	10368	5257
M33	Oostelijk Havengebied	2008	17662	9052
M34	Zeeburgereiland/Nieuwe diep	2008	464	237
M35	IJburg-West	2008	7781	3835
M50	IJburg-Oost	2008		0
M51	IJburg-Zuid	2008	485	246
M55	Frankendael	2008	9528	4485
M56	Middenmeer	2008	12164	5804
M57	Betondorp	2008	3032	1427
M58	Omval/Overamstel	2008	2115	1103
N60	Volewijck	2008	9583	4730
N61	IJplein/Vogelbuurt	2008	8366	4216
N62	Tuindorp Nieuwendam	2008	3444	1583
N63	Tuindorp Buiksloot	2008	1868	910
N64	Nieuwendammerdijk/Buiksloterdijk	2008	1588	786
N65	Tuindorp Oostzaan	2008	9893	4767
N66	Oostzanerwerf	2008	8698	4174
N67	Kadoelen	2008	2890	1385
N68	Waterlandpleinbuurt	2008	13023	6153
N69	Buikslotermeer	2008	10480	4903
N70	Banne Buiksloot	2008	13143	6231
N71	Noordelijke IJ-oevers-West	2008	609	292
N72	Noordelijke IJ-oevers-Oost	2008	126	69
N73	Waterland	2008	2126	1085
N74	Elzenhagen	2008	1093	539
T92	Amstel III/Bullewijk	2008	97	66
